Day,Time,Intensity
2014/06/18,17:20:05.016,1441.56871
2014/06/18,17:20:05.126,1359.53923
2014/06/18,17:20:05.236,1481.49705
2014/06/18,17:20:05.346,1427.41145
2014/06/18,17:20:05.456,1530.7034
2014/06/18,17:20:05.566,1391.30454
2014/06/18,17:20:05.676,1440.15488
2014/06/18,17:20:05.786,1590.42698
2014/06/18,17:20:05.896,1514.5229
2014/06/18,17:20:06.026,1491.28458
2014/06/18,17:20:06.126,1373.93878
2014/06/18,17:20:06.236,1429.26417
2014/06/18,17:20:06.346,1538.91995
2014/06/18,17:20:06.456,1394.68934
2014/06/18,17:20:06.566,1514.61043
2014/06/18,17:20:06.676,1432.68662
2014/06/18,17:20:06.786,1477.58526
2014/06/18,17:20:06.896,1365.53968
2014/06/18,17:20:07.006,1308.42449
2014/06/18,17:20:07.116,1517.36032
2014/06/18,17:20:07.216,1619.93243
2014/06/18,17:20:07.326,1655.17098
2014/06/18,17:20:07.436,1444.39546
2014/06/18,17:20:07.546,1551.92052
2014/06/18,17:20:07.656,1437.96213
2014/06/18,17:20:07.766,1427.03424
2014/06/18,17:20:07.876,1372.31769
2014/06/18,17:20:07.986,1559.68707
2014/06/18,17:20:08.096,1462.1381
2014/06/18,17:20:08.206,1397.07029
2014/06/18,17:20:08.316,1345.80408
2014/06/18,17:20:08.426,1295.36372
2014/06/18,17:20:08.526,1338.17846
2014/06/18,17:20:08.636,1348.91474
2014/06/18,17:20:08.746,1321.6881
2014/06/18,17:20:08.856,1241.46349
2014/06/18,17:20:08.966,1400.48798
2014/06/18,17:20:09.076,1312.97732
2014/06/18,17:20:09.186,1312.72766
2014/06/18,17:20:09.296,1315.71973
2014/06/18,17:20:09.406,1443.85147
2014/06/18,17:20:09.516,1294.62086
2014/06/18,17:20:09.626,1392.10771
2014/06/18,17:20:09.736,1506.11621
2014/06/18,17:20:09.846,1180.96893
2014/06/18,17:20:09.946,1434.37075
2014/06/18,17:20:10.056,1485.91066
2014/06/18,17:20:10.166,1483.81837
2014/06/18,17:20:10.276,1524.91043
2014/06/18,17:20:10.386,1455.50272
2014/06/18,17:20:10.496,1937.34172
2014/06/18,17:20:10.606,1505.00476
2014/06/18,17:20:10.716,1561.89274
2014/06/18,17:20:10.826,1250.23152
2014/06/18,17:20:10.946,1417.76893
2014/06/18,17:20:11.056,1472.79864
2014/06/18,17:20:11.166,1370.8322
2014/06/18,17:20:11.276,1405.89569
2014/06/18,17:20:11.386,1355.52472
2014/06/18,17:20:11.496,1335.61882
2014/06/18,17:20:11.606,1517.3542
2014/06/18,17:20:11.716,1413.98844
2014/06/18,17:20:11.826,1341.84354
2014/06/18,17:20:11.936,1435.16508
2014/06/18,17:20:12.036,0.00
2014/06/18,17:20:12.146,1382.01361
2014/06/18,17:20:12.256,1601.15782
2014/06/18,17:20:12.366,1397.07188
2014/06/18,17:20:12.476,1629.24467
2014/06/18,17:20:12.586,1595.6195
2014/06/18,17:20:12.696,1561.60839
2014/06/18,17:20:12.806,1835.15646
2014/06/18,17:20:12.916,1727.94558
2014/06/18,17:20:13.026,1856.2907
2014/06/18,17:20:13.136,1688.35488
2014/06/18,17:20:13.246,1754.21247
2014/06/18,17:20:13.366,1347.09229
2014/06/18,17:20:13.476,1477.91837
2014/06/18,17:20:13.586,1427.14331
2014/06/18,17:20:13.706,1556.61338
2014/06/18,17:20:13.816,1569.94694
2014/06/18,17:20:13.926,1488.41859
2014/06/18,17:20:14.036,1691.92766
2014/06/18,17:20:14.146,1532.51791
2014/06/18,17:20:14.256,2039.29546
2014/06/18,17:20:14.366,1361.06689
2014/06/18,17:20:14.476,1545.08095
2014/06/18,17:20:14.586,1645.8839
2014/06/18,17:20:14.696,1386.01338
2014/06/18,17:20:14.806,1479.88163
2014/06/18,17:20:14.916,1747.90816
2014/06/18,17:20:15.016,1411.10204
2014/06/18,17:20:15.126,1459.62744
2014/06/18,17:20:15.236,1429.28503
2014/06/18,17:20:15.346,1439.40
2014/06/18,17:20:15.456,1585.79705
2014/06/18,17:20:15.566,1475.17823
2014/06/18,17:20:15.676,1472.35669
2014/06/18,17:20:15.786,1403.83764
2014/06/18,17:20:15.896,1477.1517
2014/06/18,17:20:16.006,1477.12766
2014/06/18,17:20:16.116,1678.18458
2014/06/18,17:20:16.226,1604.43356
2014/06/18,17:20:16.326,1533.69093
2014/06/18,17:20:16.436,1519.44444
2014/06/18,17:20:16.546,1514.24615
2014/06/18,17:20:16.656,1484.53061
2014/06/18,17:20:16.766,1432.19365
2014/06/18,17:20:16.876,1604.12222
2014/06/18,17:20:16.986,1493.40181
2014/06/18,17:20:17.096,1346.21043
2014/06/18,17:20:17.206,1422.86871
2014/06/18,17:20:17.316,1433.10317
2014/06/18,17:20:17.426,1384.09592
2014/06/18,17:20:17.536,1478.2229
2014/06/18,17:20:17.646,1634.05544
2014/06/18,17:20:17.746,1488.41519
2014/06/18,17:20:17.856,1525.15601
2014/06/18,17:20:17.966,1349.55465
2014/06/18,17:20:18.076,1398.45669
2014/06/18,17:20:18.186,1511.73129
2014/06/18,17:20:18.296,1395.33719
2014/06/18,17:20:18.406,1433.5839
2014/06/18,17:20:18.516,1273.47551
2014/06/18,17:20:18.626,1359.44694
2014/06/18,17:20:18.736,1371.23333
2014/06/18,17:20:18.846,1484.50034
2014/06/18,17:20:18.956,1502.49297
2014/06/18,17:20:19.056,1458.08073
2014/06/18,17:20:19.166,1433.07166
2014/06/18,17:20:19.276,1540.78934
2014/06/18,17:20:19.386,2703.03946
2014/06/18,17:20:19.496,1485.02109
2014/06/18,17:20:19.606,1416.69819
2014/06/18,17:20:19.716,1609.26871
2014/06/18,17:20:19.826,1475.70635
2014/06/18,17:20:19.936,1542.71043
2014/06/18,17:20:20.046,1395.31689
2014/06/18,17:20:20.156,1394.38345
2014/06/18,17:20:20.266,1454.61497
2014/06/18,17:20:20.376,1355.2576
2014/06/18,17:20:20.476,1433.85669
2014/06/18,17:20:20.586,1429.35102
2014/06/18,17:20:20.696,1545.33515
2014/06/18,17:20:20.806,1426.51519
2014/06/18,17:20:20.916,1535.96236
2014/06/18,17:20:21.026,6221.23855
2014/06/18,17:20:21.136,4956.91088
2014/06/18,17:20:21.246,3706.73084
2014/06/18,17:20:21.356,2998.67574
2014/06/18,17:20:21.466,1865.4093
2014/06/18,17:20:21.576,5774.55283
2014/06/18,17:20:21.686,3189.6415
2014/06/18,17:20:21.786,1815.72109
2014/06/18,17:20:21.896,1367.09342
2014/06/18,17:20:22.006,1427.86599
2014/06/18,17:20:22.116,1508.89909
2014/06/18,17:20:22.226,1435.71746
